Classificação;Descrição;Código;Preço
Serviço;HOMOCINETICA;2053;R$ 0,00
Serviço;TURBINA;2054;R$ 0,00
Serviço;REFORMA NO RADIADOR;2055;R$ 0,00
Serviço;PARAFUSO DO CABEÇOTE;2056;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DO COXIM DO AMORTECEDOR DIANTEIRO;2057;R$ 0,00
Serviço;Correia Dentada;3001;R$ 0,00
Serviço;LIMPEZA DO SISTEMA DE ARREFECIMENTO;3002;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DA JUNTA DA TAMPA DE VALVULAS;3003;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DAS BUCHAS DA BARRA ESTABILIZADORA;3004;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DO TROCADOR DE CALOR;3005;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DO CALÇO DA CAIXA;3006;R$ 0,00
Serviço;CALÇO RAQUETE;3007;R$ 0,00
Serviço;ÓLEO DE CAIXA AUTOMATICA;3010;R$ 0,00
Serviço;SERVIÇO DE ESCAPA MARCHA;3011;R$ 0,00
Serviço;ANEL SINCRONIZADOR 1º E 2°;3012;R$ 0,00
Serviço;ENGRENAGEM DA 2° MARCHA;3013;R$ 0,00
Serviço;GARFO DA 1º E 2º MARCHA;3014;R$ 0,00
Serviço;GARFO SELETOR;3015;R$ 0,00
Serviço;LUVA 1º E 2º  MARCHA;3016;R$ 0,00
Serviço;ÓLEO DE CAIXA;3017;R$ 0,00
Serviço;RETENTOR DO SELETOR;3018;R$ 0,00
Serviço;Válvula Termostática;3100;R$ 0,00
Serviço;Flange da Bomba de Combustível;3102;R$ 0,00
Serviço;Mangueira da Bomba de Combustível;3103;R$ 0,00
Serviço;CORPO DE BORBOLETA;3104;R$ 0,00
Serviço;Retentor de Semi eixo;3200;R$ 0,00
Serviço;Rolamento Duplo da Caixa;3300;R$ 0,00
Serviço;Mangueira de Mola;4000;R$ 0,00
Serviço;Trocador de Calor;4001;R$ 0,00
Serviço;ROLAMENTO DE RODA DIANTEIRO;7001;R$ 0,00
Serviço;SENSOR DE VELOCIDADE;7002;R$ 0,00
Serviço;Radiador;7005;R$ 0,00
Serviço;BUCHA DO EIXO TRASEIRO;7119;R$ 0,00
Produto;VENTOINHA DO RADIADOR;10001;R$ 0,00
Produto;ITEM NÃO ENCONTRATO;10003;R$ 0,00
Produto;GASOLINA;10004;R$ 0,00
Produto;LONA DE FREIO;10005;R$ 0,00
Produto;OLEO DE MOTOR;10006;R$ 0,00
Serviço;REPARO DA ALAVANCA DE MARCHA;100006;R$ 0,00
Produto;Junta cabeçote L200 4 PIC;103891;R$ 0,00
Produto;Retentor Válvula L200;103894;R$ 0,00
Produto;Retentor da Caixa de Marcha;103895;R$ 0,00
Produto;Cabeçote L200 98/4D56 Val/P Dentro;103896;R$ 0,00
Produto;Junta cabeçote L200 4 PIC;107830;R$ 0,00
Produto;Retentor de válvula L200;107854;R$ 0,00
Produto;Cabeçote L200 98/4D56 Valv. p/ dentro;107856;R$ 0,00
